race hour,EST,local time,course mile,TS mph,team,location
88,8,7,2139.221,48.1697,2,TS 37: Effingham IL +13.921mi
89,9,8,2161.2321,44.0222,2,TS 37: Effingham IL +35.9321mi
90,10,9,2183.2432,44.0222,2,TS 37: Effingham IL +57.9432mi
91,11,11,2205.914,44.682,3,TS 38: Sullivan IN +7.814mi
92,12,12,2230.1244,48.4208,3,TS 38: Sullivan IN +32.0244mi
93,13,13,2254.3348,48.4208,3,TS 38: Sullivan IN +56.2348mi
94,14,14,2278.8425,48.7181,3,TS 39: Bloomington IN +13.3425mi
95,15,15,2303.6475,49.61,3,TS 39: Bloomington IN +38.1475mi
96,16,16,2328.4525,49.61,4,TS 39: Bloomington IN +62.9525mi
97,17,17,2350.9765,47.3289,4,TS 40: Greensburg IN +22.2765mi
98,18,18,2373.247,44.541,4,TS 40: Greensburg IN +44.547mi
99,19,19,2395.0007,44.0242,4,TS 41: Oxford OH +16.8007mi
100,20,20,2416.5329,43.0644,4,TS 41: Oxford OH +38.3329mi
101,21,21,2437.364,42.3634,1,TS 42: Blanchester OH +8.864mi
102,22,22,2457.1436,39.5592,1,TS 42: Blanchester OH +28.6436mi
103,23,23,2476.9232,39.5592,1,TS 42: Blanchester OH +48.4232mi
104,0,0,2499.089,41.9454,1,TS 43: Chillicothe OH +12.489mi
105,1,1,2523.641,49.104,1,TS 43: Chillicothe OH +37.041mi
106,2,2,2548.193,49.104,2,TS 44: Athens OH +2.393mi
107,3,3,2567.5467,38.7074,2,TS 44: Athens OH +21.7467mi
108,4,4,2586.9004,38.7074,2,TS 44: Athens OH +41.1004mi
109,5,5,2606.2541,38.7074,2,TS 44: Athens OH +60.4541mi
110,6,6,2626.7792,39.8788,2,TS 45: Ellenboro WV +14.2792mi
111,7,7,2648.0852,42.612,3,TS 45: Ellenboro WV +35.5852mi
112,8,8,2669.3912,42.612,3,TS 45: Ellenboro WV +56.8912mi
113,9,9,2692.1894,44.1042,3,TS 46: Grafton WV +14.3894mi
114,10,10,2715.9824,47.586,3,TS 46: Grafton WV +38.1824mi
115,11,11,2739.7754,47.586,3,TS 46: Grafton WV +61.9754mi
116,12,12,2761.9118,45.9294,4,TS 47: Keyser WV +14.2118mi
117,13,13,2782.95,42.0701,4,TS 48: Cumberland MD +6.65mi
118,14,14,2804.0025,42.105,4,TS 48: Cumberland MD +27.7025mi
119,15,15,2825.0602,42.1102,4,TS 49: Hancock MD +11.6602mi
120,16,16,2846.1232,42.126,4,TS 49: Hancock MD +32.7232mi
121,17,17,2867.3249,42.2647,1,TS 50: Rouzerville PA +5.4249mi
122,18,18,2889.0815,43.5132,1,TS 50: Rouzerville PA +27.1815mi
123,19,19,2911.0993,43.7743,1,TS 51: Hanover PA +8.8993mi
124,20,20,2933.7263,45.254,1,TS 51: Hanover PA +31.5263mi
125,21,21,2956.3995,45.3002,1,TS 52: Mt Airy MD +17.5995mi
126,22,22,2979.0925,45.386,2,TS 53: Odenton MD +0.79246mi
127,23,23,2993.5,16.1,,TS 55: Finish
