race hour,EST,local time,course mile,TS mph,team,location
82,2,1,2001.1083,22.3278,1,TS 34: Washington MO +44mi
83,3,2,2023.4361,22.3278,1,TS 34: Washington MO +66mi
84,4,3,2047.4209,22.3278,1,TS 35: Mississippi River West Alton MO +17mi
85,5,4,2072.1159,24.695,2,TS 35: Mississippi River West Alton MO +42mi
86,6,5,2097.2157,24.695,2,TS 36: Greenville IL +21mi
87,7,6,2122.4167,25.201,2,TS 36: Greenville IL +46mi
88,8,7,2147.4358,25.201,2,TS 37: Effingham IL +22mi
89,9,8,2172.4094,24.9736,2,TS 37: Effingham IL +47mi
90,10,9,2197.383,24.9736,3,TS 37: Effingham IL +72mi
91,11,10,2219.6903,24.9736,3,TS 38: Sullivan IN +22mi
92,12,11,2241.7014,22.0111,3,TS 38: Sullivan IN +44mi
93,13,12,2263.7125,22.0111,3,TS 38: Sullivan IN +66mi
94,14,14,2287.703,22.0111,3,TS 39: Bloomington IN +22mi
95,15,15,2311.9134,24.2104,4,TS 39: Bloomington IN +46mi
96,16,16,2336.3022,24.2104,4,TS 40: Greensburg IN +8mi
97,17,17,2361.1072,24.805,4,TS 40: Greensburg IN +32mi
98,18,18,2385.1518,24.805,4,TS 41: Oxford OH +7mi
99,19,19,2407.4223,22.2705,4,TS 41: Oxford OH +29mi
100,20,20,2429.6928,22.2705,1,TS 42: Blanchester OH +1mi
101,21,21,2451.225,21.5322,1,TS 42: Blanchester OH +23mi
102,22,22,2472.7572,21.5322,1,TS 42: Blanchester OH +44mi
103,23,23,2493.7636,21.5322,1,TS 43: Chillicothe OH +7mi
104,0,0,2513.5432,19.7796,1,TS 43: Chillicothe OH +27mi
105,1,1,2533.3228,19.7796,2,TS 43: Chillicothe OH +47mi
106,2,2,2554.5342,19.7796,2,TS 44: Athens OH +9mi
107,3,3,2579.0862,24.552,2,TS 44: Athens OH +33mi
108,4,4,2603.6382,24.552,2,TS 44: Athens OH +58mi
109,5,5,2625.0712,24.552,2,TS 45: Ellenboro WV +13mi
110,6,6,2644.4249,19.3537,3,TS 45: Ellenboro WV +32mi
111,7,7,2663.7786,19.3537,3,TS 45: Ellenboro WV +51mi
112,8,8,2683.5227,19.3537,3,TS 46: Grafton WV +6mi
113,9,9,2704.8287,21.306,3,TS 46: Grafton WV +27mi
114,10,10,2726.1347,21.306,3,TS 46: Grafton WV +48mi
115,11,11,2747.4407,21.306,4,TS 46: Grafton WV +70mi
116,12,12,2770.985,21.306,4,TS 47: Keyser WV +23mi
117,13,13,2792.8453,23.793,4,TS 48: Cumberland MD +17mi
118,14,14,2813.8773,21.032,4,TS 49: Hancock MD +0mi
119,15,15,2834.9298,21.0525,4,TS 49: Hancock MD +22mi
120,16,16,2855.9823,21.0525,1,TS 49: Hancock MD +43mi
121,17,17,2877.0422,21.0525,1,TS 50: Rouzerville PA +15mi
122,18,18,2898.1052,21.063,1,TS 50: Rouzerville PA +36mi
123,19,19,2919.7231,21.063,1,TS 51: Hanover PA +18mi
124,20,20,2941.5667,21.7566,1,TS 52: Mt Airy MD +3mi
125,21,21,2964.1937,22.627,2,TS 52: Mt Airy MD +25mi
126,22,22,2986.8405,22.627,2,TS 53: Odenton MD +9mi
127,23,23,2993.9398,22.693,2,TS 55: Finish +0mi
128,0,0,2993.5,16.1,,TS 55: Finish
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
